종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"004310","현대약품","224722791","224722791","0","1159.0","1159.0","0.0"
"322000","현대에너지솔루션","12063822","12063822","0","199.0","199.0","0.0"
"126560","현대에이치씨엔","44718368","44718368","0","181.0","181.0","0.0"
"017800","현대엘리베이","100657411","100657411","0","9321.0","9321.0","0.0"
"307950","현대오토에버","15594097","15594097","0","1116.0","1116.0","0.0"
"011210","현대위아","34778128","34778128","0","1599.0","1599.0","0.0"
"267260","현대일렉트릭","36508076","36508076","0","553.0","553.0","0.0"
"004020","현대제철","75434557","75434557","0","3032.0","3032.0","0.0"
"267250","현대중공업지주","6983835","6983835","0","2370.0","2370.0","0.0"
"005380","현대차","151311249","151311249","0","19213.0","19213.0","0.0"
"005387","현대차2우B","16170751","16170751","0","1330.0","1330.0","0.0"
"005389","현대차3우B","1029741","1029741","0","74.0","74.0","0.0"
"005385","현대차우","9443491","9443491","0","701.0","701.0","0.0"
"001500","현대차증권","11425203","11425203","0","115.0","115.0","0.0"
"227840","현대코퍼레이션홀딩스","20752538","20752538","0","309.0","309.0","0.0"
"001450","현대해상","63721917","63721917","0","1933.0","1933.0","0.0"
"057050","현대홈쇼핑","5357925","5357925","0","520.0","520.0","0.0"
"093240","형지엘리트","152299712","152299712","0","270.0","270.0","0.0"
"003010","혜인","116051612","116051612","0","733.0","733.0","0.0"
"111110","호전실업","2757618","2757618","0","35.0","35.0","0.0"
"008770","호텔신라","132153415","132153415","0","11343.0","11343.0","0.0"
"008775","호텔신라우","4598752","4598752","0","250.0","250.0","0.0"
"002460","화성산업","8692257","8692257","0","117.0","117.0","0.0"
"013520","화승알앤에이","29339924","29339924","0","62.0","62.0","0.0"
"241590","화승엔터프라이즈","44737011","44737011","0","603.0","603.0","0.0"
"006060","화승인더","67986624","67986624","0","641.0","641.0","0.0"
"010690","화신","16600086","16600086","0","51.0","51.0","0.0"
"133820","화인베스틸","243513031","243513031","0","844.0","844.0","0.0"
"010660","화천기계","1020087479","1020087479","0","4284.0","4284.0","0.0"
"000850","화천기공","2726148","2726148","0","116.0","116.0","0.0"
"016580","환인제약","7547657","7547657","0","132.0","132.0","0.0"
"032560","황금에스티","27343068","27343068","0","265.0","265.0","0.0"
"004800","효성","22849787","22849787","0","1669.0","1669.0","0.0"
"094280","효성ITX","6139483","6139483","0","76.0","76.0","0.0"
"298040","효성중공업","10871710","10871710","0","402.0","402.0","0.0"
